source,target,value
England,Female,1106200
England,Male,834660
England,Other,1675
Northern Ireland,Female,32490
Northern Ireland,Male,23265
Northern Ireland,Other,0
Scotland,Female,149255
Scotland,Male,103495
Scotland,Other,725
Wales,Female,74425
Wales,Male,57620
Wales,Other,155
