source,target,value
England,Female,824385
England,Male,635275
England,Other,870
Northern Ireland,Female,24590
Northern Ireland,Male,18510
Northern Ireland,Other,0
Scotland,Female,111830
Scotland,Male,76770
Scotland,Other,555
Wales,Female,58660
Wales,Male,46670
Wales,Other,115
