,Subject Area,Level of study,Country of HE provider,Female,Male,Other,Total,Female (%),Male (%),Other (%),Female (%) 2014/15,Male (%) 2014/15,Other (%) 2014/15,Female (%) 2015/16,Male (%) 2015/16,Other (%) 2015/16,Female (%) 2016/17,Male (%) 2016/17,Other (%) 2016/17,Female (%) 2017/18,Male (%) 2017/18,Other (%) 2017/18,Avg. yby % change of Female,Avg. yby % change of Male,Avg. yby % change of Other
0,(1) Medicine & dentistry,All,All,40175,27485,100,67755,59.294517009814776,40.56527193565051,0.14759058372075862,56.56818181818182,43.42424242424243,0.007575757575757576,57.08292013120757,42.90182317491799,0.01525669387443741,57.48732913530947,42.45891568115497,0.053755183535555216,58.2011385199241,41.707779886148,0.09867172675521822,0.6815837979082389,-0.7147426221479805,0.03500370653625026
1,(1) Medicine & dentistry,All,England,31985,22555,85,54625,58.55377574370709,41.29061784897025,0.15560640732265446,56.07753270314141,43.912918934402754,0.009548362455838823,56.404365307294654,43.586061650392494,0.009573042312847023,56.6320645905421,43.30065359477124,0.05767012687427912,57.34140115344616,42.545145126217264,0.11345372033657937,0.6190607601414211,-0.655575271358126,0.036514511216703904
2,(1) Medicine & dentistry,All,Northern Ireland,1340,790,0,2130,62.91079812206573,37.08920187793427,0.0,60.24096385542169,39.75903614457831,0.0,60.62052505966587,39.140811455847256,0.0,60.91127098321343,39.08872901678657,0.0,62.5,37.26851851851852,0.0,0.6674585666610096,-0.6674585666610096,0.0
3,(1) Medicine & dentistry,All,Scotland,4770,3010,15,7795,61.19307248236049,38.6144964720975,0.19243104554201412,57.58754863813229,42.34760051880674,0.0,58.785107772697586,41.149575440888306,0.0,59.81675392670157,40.18324607329843,0.06544502617801047,60.548661005878515,39.451338994121485,0.0,0.9013809610570505,-0.9332760116773109,0.04810776138550353
4,(1) Medicine & dentistry,All,Wales,2080,1125,0,3210,64.797507788162,35.046728971962615,0.0,59.09090909090909,40.77922077922078,0.0,61.29032258064516,38.70967741935484,0.0,63.20474777448071,36.646884272997035,0.0,63.83647798742138,36.0062893081761,0.0,1.426649674313225,-1.433122951814541,0.0
5,(1) Medicine & dentistry,All postgraduate,All,12330,7715,75,20120,61.28230616302187,38.344930417495036,0.3727634194831014,57.75925471929394,42.216229468006865,0.024515812699190977,58.6164451009355,41.3589364844904,0.02461841457410143,59.30703085483056,40.591805766312596,0.12645422357106728,59.82927441626914,39.94476525232237,0.22596033140848606,0.8807628609319824,-0.9678247626279575,0.0870619016959776
6,(1) Medicine & dentistry,All postgraduate,England,10135,6490,60,16685,60.74318249925083,38.89721306562781,0.3596044351213665,57.58873929008568,42.38066095471236,0.03059975520195838,58.12405446293495,41.84568835098336,0.0302571860816944,58.738461538461536,41.107692307692304,0.12307692307692308,59.17557251908397,40.58015267175573,0.2748091603053435,0.7886108022912879,-0.8708619722711379,0.08225116997985202
7,(1) Medicine & dentistry,All postgraduate,Northern Ireland,325,205,0,530,61.32075471698113,38.67924528301887,0.0,60.824742268041234,40.20618556701031,0.0,59.4059405940594,40.5940594059406,0.0,59.183673469387756,40.816326530612244,0.0,61.94690265486725,38.05309734513274,0.0,0.1240031122349734,-0.3817350709978591,0.0
8,(1) Medicine & dentistry,All postgraduate,Scotland,1235,720,10,1965,62.849872773536894,36.6412213740458,0.5089058524173028,60.72351421188631,39.276485788113696,0.0,62.69430051813472,37.30569948186528,0.0,63.28125,36.71875,0.0,62.5,37.5,0.0,0.5315896404126459,-0.6588161035169744,0.1272264631043257
9,(1) Medicine & dentistry,All postgraduate,Wales,635,305,0,935,67.9144385026738,32.62032085561498,0.0,55.21472392638037,44.785276073619634,0.0,58.51851851851851,41.48148148148148,0.0,60.633484162895925,39.366515837104075,0.0,64.61538461538461,35.38461538461539,0.0,3.1749286440733577,-3.0412388045011642,0.0
10,(1) Medicine & dentistry,All undergraduate,All,27845,19765,25,47640,58.448782535684295,41.488245172124266,0.05247691015952981,56.035522420787196,43.964477579212804,0.0,56.40543826682878,43.59456173317122,0.0,56.693868548742834,43.28407587119541,0.022055580061755623,57.48939410420972,42.46709452844556,0.04351136734471881,0.6033150287242748,-0.6190581017721346,0.013119227539882452
11,(1) Medicine & dentistry,All undergraduate,England,21845,16070,25,37940,57.577754348972064,42.35635213494992,0.06589351607801792,55.39208882720333,44.60791117279667,0.0,55.608458199131775,44.391541800868225,0.0,55.675146771037184,44.29689684092815,0.02795638803466592,56.51876198301835,43.42645850451931,0.041084634346754315,0.5464163804421833,-0.5628897594616866,0.01647337901950448
12,(1) Medicine & dentistry,All undergraduate,Northern Ireland,1020,585,0,1600,63.74999999999999,36.5625,0.0,60.062893081761004,39.937106918238996,0.0,61.32075471698113,38.67924528301887,0.0,61.442006269592476,38.557993730407524,0.0,63.00940438871473,36.990595611285265,0.0,0.9217767295597472,-0.843651729559749,0.0
13,(1) Medicine & dentistry,All undergraduate,Scotland,3535,2290,0,5825,60.68669527896996,39.31330472103004,0.0,56.536796536796544,43.37662337662337,0.0,57.467248908296945,42.44541484716157,0.0,58.56643356643356,41.34615384615385,0.0,59.85853227232537,40.229885057471265,0.0,1.0374746855433532,-1.015829663898332,0.0
14,(1) Medicine & dentistry,All undergraduate,Wales,1445,825,0,2270,63.65638766519823,36.34361233480176,0.0,62.30248306997742,37.92325056433409,0.0,62.83783783783784,37.16216216216216,0.0,64.60176991150442,35.39823008849557,0.0,63.49206349206349,36.281179138321995,0.0,0.3384761488052028,-0.3949095573830821,0.0
