Domicile,First year marker,Level of study,Mode of study,Country of HE provider,Academic Year,Number
England,First year,All,Part-time,Northern Ireland,2018/19,930
England,First year,All,Part-time,Scotland,2014/15,2335
England,First year,All,Part-time,Scotland,2015/16,2370
England,First year,All,Part-time,Scotland,2016/17,2415
England,First year,All,Part-time,Scotland,2017/18,2620
England,First year,All,Part-time,Scotland,2018/19,2600
England,First year,All,Part-time,Wales,2014/15,2365
England,First year,All,Part-time,Wales,2015/16,2300
England,First year,All,Part-time,Wales,2016/17,2305
England,First year,All,Part-time,Wales,2017/18,2175
England,First year,All,Part-time,Wales,2018/19,2375
England,Other years,All,All,All,2014/15,880535
England,Other years,All,All,All,2015/16,888060
England,Other years,All,All,All,2016/17,902125
England,Other years,All,All,All,2017/18,913575
England,Other years,All,All,All,2018/19,919225
England,Other years,All,All,England,2014/15,841740
England,Other years,All,All,England,2015/16,847215
England,Other years,All,All,England,2016/17,860360
England,Other years,All,All,England,2017/18,870795
England,Other years,All,All,England,2018/19,875755
England,Other years,All,All,Northern Ireland,2014/15,1030
England,Other years,All,All,Northern Ireland,2015/16,1365
England,Other years,All,All,Northern Ireland,2016/17,1425
England,Other years,All,All,Northern Ireland,2017/18,1455
England,Other years,All,All,Northern Ireland,2018/19,1465
England,Other years,All,All,Scotland,2014/15,15195
England,Other years,All,All,Scotland,2015/16,16035
England,Other years,All,All,Scotland,2016/17,16370
England,Other years,All,All,Scotland,2017/18,17030
England,Other years,All,All,Scotland,2018/19,17490
England,Other years,All,All,Wales,2014/15,22565
England,Other years,All,All,Wales,2015/16,23440
England,Other years,All,All,Wales,2016/17,23970
England,Other years,All,All,Wales,2017/18,24295
England,Other years,All,All,Wales,2018/19,24515
England,Other years,All,Full-time,All,2014/15,650560
England,Other years,All,Full-time,All,2015/16,673375
England,Other years,All,Full-time,All,2016/17,697110
England,Other years,All,Full-time,All,2017/18,717360
England,Other years,All,Full-time,All,2018/19,725110
England,Other years,All,Full-time,England,2014/15,618355
England,Other years,All,Full-time,England,2015/16,638620
England,Other years,All,Full-time,England,2016/17,661250
England,Other years,All,Full-time,England,2017/18,680460
England,Other years,All,Full-time,England,2018/19,687385
England,Other years,All,Full-time,Northern Ireland,2014/15,615
England,Other years,All,Full-time,Northern Ireland,2015/16,965
England,Other years,All,Full-time,Northern Ireland,2016/17,980
England,Other years,All,Full-time,Northern Ireland,2017/18,925
England,Other years,All,Full-time,Northern Ireland,2018/19,930
England,Other years,All,Full-time,Scotland,2014/15,11460
England,Other years,All,Full-time,Scotland,2015/16,12570
England,Other years,All,Full-time,Scotland,2016/17,13045
England,Other years,All,Full-time,Scotland,2017/18,13745
England,Other years,All,Full-time,Scotland,2018/19,14240
England,Other years,All,Full-time,Wales,2014/15,20130
England,Other years,All,Full-time,Wales,2015/16,21220
England,Other years,All,Full-time,Wales,2016/17,21835
England,Other years,All,Full-time,Wales,2017/18,22235
England,Other years,All,Full-time,Wales,2018/19,22555
England,Other years,All,Part-time,All,2014/15,229970
England,Other years,All,Part-time,All,2015/16,214685
England,Other years,All,Part-time,All,2016/17,205015
England,Other years,All,Part-time,All,2017/18,196210
England,Other years,All,Part-time,All,2018/19,194120
England,Other years,All,Part-time,England,2014/15,223385
England,Other years,All,Part-time,England,2015/16,208595
England,Other years,All,Part-time,England,2016/17,199110
England,Other years,All,Part-time,England,2017/18,190335
England,Other years,All,Part-time,England,2018/19,188365
England,Other years,All,Part-time,Northern Ireland,2014/15,415
England,Other years,All,Part-time,Northern Ireland,2015/16,400
England,Other years,All,Part-time,Northern Ireland,2016/17,445
England,Other years,All,Part-time,Northern Ireland,2017/18,530
England,Other years,All,Part-time,Northern Ireland,2018/19,535
England,Other years,All,Part-time,Scotland,2014/15,3735
England,Other years,All,Part-time,Scotland,2015/16,3465
England,Other years,All,Part-time,Scotland,2016/17,3330
England,Other years,All,Part-time,Scotland,2017/18,3285
England,Other years,All,Part-time,Scotland,2018/19,3250
England,Other years,All,Part-time,Wales,2014/15,2435
England,Other years,All,Part-time,Wales,2015/16,2225
England,Other years,All,Part-time,Wales,2016/17,2135
England,Other years,All,Part-time,Wales,2017/18,2060
England,Other years,All,Part-time,Wales,2018/19,1965
England,First year,Postgraduate (research),Full-time,England,2014/15,11485
England,First year,Postgraduate (research),Full-time,England,2015/16,11540
England,First year,Postgraduate (research),Full-time,England,2016/17,11590
