Domicile,First year marker,Level of study,Mode of study,Country of HE provider,Academic Year,Number
Scotland,First year,All postgraduate,Part-time,Wales,2016/17,65
Scotland,First year,All postgraduate,Part-time,Wales,2017/18,65
Scotland,First year,All postgraduate,Part-time,Wales,2018/19,65
Scotland,Other years,All postgraduate,All,All,2014/15,13400
Scotland,Other years,All postgraduate,All,All,2015/16,13170
Scotland,Other years,All postgraduate,All,All,2016/17,13410
Scotland,Other years,All postgraduate,All,All,2017/18,13550
Scotland,Other years,All postgraduate,All,All,2018/19,13740
Scotland,Other years,All postgraduate,All,England,2014/15,1745
Scotland,Other years,All postgraduate,All,England,2015/16,1715
Scotland,Other years,All postgraduate,All,England,2016/17,1715
Scotland,Other years,All postgraduate,All,England,2017/18,1755
Scotland,Other years,All postgraduate,All,England,2018/19,1725
Scotland,Other years,All postgraduate,All,Northern Ireland,2014/15,65
Scotland,Other years,All postgraduate,All,Northern Ireland,2015/16,55
Scotland,Other years,All postgraduate,All,Northern Ireland,2016/17,70
Scotland,Other years,All postgraduate,All,Northern Ireland,2017/18,60
Scotland,Other years,All postgraduate,All,Northern Ireland,2018/19,70
Scotland,Other years,All postgraduate,All,Scotland,2014/15,11495
Scotland,Other years,All postgraduate,All,Scotland,2015/16,11305
Scotland,Other years,All postgraduate,All,Scotland,2016/17,11525
Scotland,Other years,All postgraduate,All,Scotland,2017/18,11635
Scotland,Other years,All postgraduate,All,Scotland,2018/19,11855
Scotland,Other years,All postgraduate,All,Wales,2014/15,95
Scotland,Other years,All postgraduate,All,Wales,2015/16,100
Scotland,Other years,All postgraduate,All,Wales,2016/17,105
Scotland,Other years,All postgraduate,All,Wales,2017/18,100
Scotland,Other years,All postgraduate,All,Wales,2018/19,90
Scotland,Other years,All postgraduate,Full-time,All,2014/15,4055
Scotland,Other years,All postgraduate,Full-time,All,2015/16,4140
Scotland,Other years,All postgraduate,Full-time,All,2016/17,4215
Scotland,Other years,All postgraduate,Full-time,All,2017/18,4670
Scotland,Other years,All postgraduate,Full-time,All,2018/19,5005
Scotland,Other years,All postgraduate,Full-time,England,2014/15,665
Scotland,Other years,All postgraduate,Full-time,England,2015/16,645
Scotland,Other years,All postgraduate,Full-time,England,2016/17,655
Scotland,Other years,All postgraduate,Full-time,England,2017/18,715
Scotland,Other years,All postgraduate,Full-time,England,2018/19,745
Scotland,Other years,All postgraduate,Full-time,Northern Ireland,2014/15,15
Scotland,Other years,All postgraduate,Full-time,Northern Ireland,2015/16,20
Scotland,Other years,All postgraduate,Full-time,Northern Ireland,2016/17,15
Scotland,Other years,All postgraduate,Full-time,Northern Ireland,2017/18,20
Scotland,Other years,All postgraduate,Full-time,Northern Ireland,2018/19,25
Scotland,Other years,All postgraduate,Full-time,Scotland,2014/15,3345
Scotland,Other years,All postgraduate,Full-time,Scotland,2015/16,3445
Scotland,Other years,All postgraduate,Full-time,Scotland,2016/17,3505
Scotland,Other years,All postgraduate,Full-time,Scotland,2017/18,3895
Scotland,Other years,All postgraduate,Full-time,Scotland,2018/19,4205
Scotland,Other years,All postgraduate,Full-time,Wales,2014/15,30
Scotland,Other years,All postgraduate,Full-time,Wales,2015/16,30
Scotland,Other years,All postgraduate,Full-time,Wales,2016/17,40
Scotland,Other years,All postgraduate,Full-time,Wales,2017/18,40
Scotland,Other years,All postgraduate,Full-time,Wales,2018/19,35
Scotland,Other years,All postgraduate,Part-time,All,2014/15,9345
Scotland,Other years,All postgraduate,Part-time,All,2015/16,9030
Scotland,Other years,All postgraduate,Part-time,All,2016/17,9200
Scotland,Other years,All postgraduate,Part-time,All,2017/18,8880
Scotland,Other years,All postgraduate,Part-time,All,2018/19,8730
Scotland,Other years,All postgraduate,Part-time,England,2014/15,1080
Scotland,Other years,All postgraduate,Part-time,England,2015/16,1065
Scotland,Other years,All postgraduate,Part-time,England,2016/17,1060
Scotland,Other years,All postgraduate,Part-time,England,2017/18,1040
Scotland,Other years,All postgraduate,Part-time,England,2018/19,985
Scotland,Other years,All postgraduate,Part-time,Northern Ireland,2014/15,50
Scotland,Other years,All postgraduate,Part-time,Northern Ireland,2015/16,40
Scotland,Other years,All postgraduate,Part-time,Northern Ireland,2016/17,55
Scotland,Other years,All postgraduate,Part-time,Northern Ireland,2017/18,40
Scotland,Other years,All postgraduate,Part-time,Northern Ireland,2018/19,45
Scotland,Other years,All postgraduate,Part-time,Scotland,2014/15,8150
Scotland,Other years,All postgraduate,Part-time,Scotland,2015/16,7860
Scotland,Other years,All postgraduate,Part-time,Scotland,2016/17,8020
Scotland,Other years,All postgraduate,Part-time,Scotland,2017/18,7740
Scotland,Other years,All postgraduate,Part-time,Scotland,2018/19,7650
Scotland,Other years,All postgraduate,Part-time,Wales,2014/15,65
Scotland,Other years,All postgraduate,Part-time,Wales,2015/16,65
Scotland,Other years,All postgraduate,Part-time,Wales,2016/17,70
Scotland,Other years,All postgraduate,Part-time,Wales,2017/18,60
Scotland,Other years,All postgraduate,Part-time,Wales,2018/19,50
Scotland,First year,First degree,Full-time,England,2014/15,1410
Scotland,First year,First degree,Full-time,England,2015/16,1515
Scotland,First year,First degree,Full-time,England,2016/17,1610
Scotland,First year,First degree,Full-time,England,2017/18,1515
Scotland,First year,First degree,Full-time,England,2018/19,1440
Scotland,First year,First degree,Full-time,Northern Ireland,2014/15,10
Scotland,First year,First degree,Full-time,Northern Ireland,2015/16,25
Scotland,First year,First degree,Full-time,Northern Ireland,2016/17,20
Scotland,First year,First degree,Full-time,Northern Ireland,2017/18,30
Scotland,First year,First degree,Full-time,Northern Ireland,2018/19,25
Scotland,First year,First degree,Full-time,Scotland,2014/15,28640
Scotland,First year,First degree,Full-time,Scotland,2015/16,28770
Scotland,First year,First degree,Full-time,Scotland,2016/17,28885
Scotland,First year,First degree,Full-time,Scotland,2017/18,29880
Scotland,First year,First degree,Full-time,Scotland,2018/19,31065
Scotland,First year,First degree,Full-time,Wales,2014/15,70
Scotland,First year,First degree,Full-time,Wales,2015/16,45
Scotland,First year,First degree,Full-time,Wales,2016/17,50
Scotland,First year,First degree,Full-time,Wales,2017/18,55
Scotland,First year,First degree,Full-time,Wales,2018/19,45
Scotland,First year,First degree,Part-time,England,2014/15,120
Scotland,First year,First degree,Part-time,England,2015/16,125
Scotland,First year,First degree,Part-time,England,2016/17,130
Scotland,First year,First degree,Part-time,England,2017/18,115
Scotland,First year,First degree,Part-time,England,2018/19,140
Scotland,First year,First degree,Part-time,Northern Ireland,2014/15,5
Scotland,First year,First degree,Part-time,Northern Ireland,2015/16,5
Scotland,First year,First degree,Part-time,Northern Ireland,2016/17,10
Scotland,First year,First degree,Part-time,Northern Ireland,2017/18,10
Scotland,First year,First degree,Part-time,Northern Ireland,2018/19,5
Scotland,First year,First degree,Part-time,Scotland,2014/15,5010
Scotland,First year,First degree,Part-time,Scotland,2015/16,5830
Scotland,First year,First degree,Part-time,Scotland,2016/17,6285
Scotland,First year,First degree,Part-time,Scotland,2017/18,6865
Scotland,First year,First degree,Part-time,Scotland,2018/19,6715
Scotland,First year,First degree,Part-time,Wales,2014/15,0
Scotland,First year,First degree,Part-time,Wales,2015/16,5
Scotland,First year,First degree,Part-time,Wales,2016/17,0
Scotland,First year,First degree,Part-time,Wales,2017/18,0
Scotland,First year,First degree,Part-time,Wales,2018/19,0
Scotland,Other years,First degree,Full-time,England,2014/15,2840
Scotland,Other years,First degree,Full-time,England,2015/16,2740
Scotland,Other years,First degree,Full-time,England,2016/17,2825
Scotland,Other years,First degree,Full-time,England,2017/18,2960
Scotland,Other years,First degree,Full-time,England,2018/19,3030
Scotland,Other years,First degree,Full-time,Northern Ireland,2014/15,40
Scotland,Other years,First degree,Full-time,Northern Ireland,2015/16,35
Scotland,Other years,First degree,Full-time,Northern Ireland,2016/17,50
Scotland,Other years,First degree,Full-time,Northern Ireland,2017/18,45
Scotland,Other years,First degree,Full-time,Northern Ireland,2018/19,55
Scotland,Other years,First degree,Full-time,Scotland,2014/15,64575
Scotland,Other years,First degree,Full-time,Scotland,2015/16,66105
Scotland,Other years,First degree,Full-time,Scotland,2016/17,66945
Scotland,Other years,First degree,Full-time,Scotland,2017/18,67550
Scotland,Other years,First degree,Full-time,Scotland,2018/19,68150
Scotland,Other years,First degree,Full-time,Wales,2014/15,115
Scotland,Other years,First degree,Full-time,Wales,2015/16,120
Scotland,Other years,First degree,Full-time,Wales,2016/17,110
Scotland,Other years,First degree,Full-time,Wales,2017/18,85
Scotland,Other years,First degree,Full-time,Wales,2018/19,90
Scotland,Other years,First degree,Part-time,England,2014/15,240
Scotland,Other years,First degree,Part-time,England,2015/16,225
Scotland,Other years,First degree,Part-time,England,2016/17,265
Scotland,Other years,First degree,Part-time,England,2017/18,260
Scotland,Other years,First degree,Part-time,England,2018/19,235
Scotland,Other years,First degree,Part-time,Northern Ireland,2014/15,10
Scotland,Other years,First degree,Part-time,Northern Ireland,2015/16,5
Scotland,Other years,First degree,Part-time,Northern Ireland,2016/17,5
Scotland,Other years,First degree,Part-time,Northern Ireland,2017/18,10
Scotland,Other years,First degree,Part-time,Northern Ireland,2018/19,10
Scotland,Other years,First degree,Part-time,Scotland,2014/15,10980
Scotland,Other years,First degree,Part-time,Scotland,2015/16,10995
Scotland,Other years,First degree,Part-time,Scotland,2016/17,11555
Scotland,Other years,First degree,Part-time,Scotland,2017/18,11825
Scotland,Other years,First degree,Part-time,Scotland,2018/19,12820
Scotland,Other years,First degree,Part-time,Wales,2014/15,15
Scotland,Other years,First degree,Part-time,Wales,2015/16,10
Scotland,Other years,First degree,Part-time,Wales,2016/17,10
Scotland,Other years,First degree,Part-time,Wales,2017/18,5
Scotland,Other years,First degree,Part-time,Wales,2018/19,5
Scotland,All,First degree,Full-time,England,2014/15,4250
Scotland,All,First degree,Full-time,England,2015/16,4255
Scotland,All,First degree,Full-time,England,2016/17,4435
Scotland,All,First degree,Full-time,England,2017/18,4480
Scotland,All,First degree,Full-time,England,2018/19,4470
Scotland,All,First degree,Full-time,Northern Ireland,2014/15,55
Scotland,All,First degree,Full-time,Northern Ireland,2015/16,60
Scotland,All,First degree,Full-time,Northern Ireland,2016/17,65
Scotland,All,First degree,Full-time,Northern Ireland,2017/18,75
Scotland,All,First degree,Full-time,Northern Ireland,2018/19,80
Scotland,All,First degree,Full-time,Scotland,2014/15,93215
Scotland,All,First degree,Full-time,Scotland,2015/16,94875
Scotland,All,First degree,Full-time,Scotland,2016/17,95825
Scotland,All,First degree,Full-time,Scotland,2017/18,97430
Scotland,All,First degree,Full-time,Scotland,2018/19,99215
Scotland,All,First degree,Full-time,Wales,2014/15,180
Scotland,All,First degree,Full-time,Wales,2015/16,165
Scotland,All,First degree,Full-time,Wales,2016/17,155
Scotland,All,First degree,Full-time,Wales,2017/18,140
Scotland,All,First degree,Full-time,Wales,2018/19,135
Scotland,All,First degree,Part-time,England,2014/15,360
Scotland,All,First degree,Part-time,England,2015/16,350
Scotland,All,First degree,Part-time,England,2016/17,395
Scotland,All,First degree,Part-time,England,2017/18,375
Scotland,All,First degree,Part-time,England,2018/19,375
Scotland,All,First degree,Part-time,Northern Ireland,2014/15,10
Scotland,All,First degree,Part-time,Northern Ireland,2015/16,10
Scotland,All,First degree,Part-time,Northern Ireland,2016/17,15
Scotland,All,First degree,Part-time,Northern Ireland,2017/18,15
Scotland,All,First degree,Part-time,Northern Ireland,2018/19,15
Scotland,All,First degree,Part-time,Scotland,2014/15,15990
Scotland,All,First degree,Part-time,Scotland,2015/16,16825
Scotland,All,First degree,Part-time,Scotland,2016/17,17835
Scotland,All,First degree,Part-time,Scotland,2017/18,18690
Scotland,All,First degree,Part-time,Scotland,2018/19,19535
Scotland,All,First degree,Part-time,Wales,2014/15,15
Scotland,All,First degree,Part-time,Wales,2015/16,15
Scotland,All,First degree,Part-time,Wales,2016/17,10
Scotland,All,First degree,Part-time,Wales,2017/18,10
Scotland,All,First degree,Part-time,Wales,2018/19,5
Scotland,All,First degree,All,England,2014/15,4610
Scotland,All,First degree,All,England,2015/16,4605
Scotland,All,First degree,All,England,2016/17,4830
Scotland,All,First degree,All,England,2017/18,4850
Scotland,All,First degree,All,England,2018/19,4845
Scotland,All,First degree,All,Northern Ireland,2014/15,65
Scotland,All,First degree,All,Northern Ireland,2015/16,70
Scotland,All,First degree,All,Northern Ireland,2016/17,80
Scotland,All,First degree,All,Northern Ireland,2017/18,90
Scotland,All,First degree,All,Northern Ireland,2018/19,100
Scotland,All,First degree,All,Scotland,2014/15,109200
Scotland,All,First degree,All,Scotland,2015/16,111700
Scotland,All,First degree,All,Scotland,2016/17,113665
Scotland,All,First degree,All,Scotland,2017/18,116120
Scotland,All,First degree,All,Scotland,2018/19,118750
Scotland,All,First degree,All,Wales,2014/15,195
Scotland,All,First degree,All,Wales,2015/16,180
Scotland,All,First degree,All,Wales,2016/17,165
Scotland,All,First degree,All,Wales,2017/18,150
Scotland,All,First degree,All,Wales,2018/19,140
Scotland,First year,First degree,All,England,2014/15,1530
Scotland,First year,First degree,All,England,2015/16,1640
Scotland,First year,First degree,All,England,2016/17,1740
Scotland,First year,First degree,All,England,2017/18,1630
Scotland,First year,First degree,All,England,2018/19,1580
Scotland,First year,First degree,All,Northern Ireland,2014/15,15
Scotland,First year,First degree,All,Northern Ireland,2015/16,30
Scotland,First year,First degree,All,Northern Ireland,2016/17,25
Scotland,First year,First degree,All,Northern Ireland,2017/18,40
Scotland,First year,First degree,All,Northern Ireland,2018/19,30
Scotland,First year,First degree,All,Scotland,2014/15,33650
Scotland,First year,First degree,All,Scotland,2015/16,34600
Scotland,First year,First degree,All,Scotland,2016/17,35165
Scotland,First year,First degree,All,Scotland,2017/18,36745
Scotland,First year,First degree,All,Scotland,2018/19,37775
Scotland,First year,First degree,All,Wales,2014/15,70
Scotland,First year,First degree,All,Wales,2015/16,50
Scotland,First year,First degree,All,Wales,2016/17,50
Scotland,First year,First degree,All,Wales,2017/18,55
Scotland,First year,First degree,All,Wales,2018/19,45
Scotland,Other years,First degree,All,England,2014/15,3080
Scotland,Other years,First degree,All,England,2015/16,2960
Scotland,Other years,First degree,All,England,2016/17,3090
Scotland,Other years,First degree,All,England,2017/18,3220
Scotland,Other years,First degree,All,England,2018/19,3265
Scotland,Other years,First degree,All,Northern Ireland,2014/15,50
Scotland,Other years,First degree,All,Northern Ireland,2015/16,40
Scotland,Other years,First degree,All,Northern Ireland,2016/17,55
Scotland,Other years,First degree,All,Northern Ireland,2017/18,50
Scotland,Other years,First degree,All,Northern Ireland,2018/19,65
Scotland,Other years,First degree,All,Scotland,2014/15,75550
Scotland,Other years,First degree,All,Scotland,2015/16,77100
Scotland,Other years,First degree,All,Scotland,2016/17,78495
Scotland,Other years,First degree,All,Scotland,2017/18,79375
Scotland,Other years,First degree,All,Scotland,2018/19,80970
Scotland,Other years,First degree,All,Wales,2014/15,130
Scotland,Other years,First degree,All,Wales,2015/16,130
Scotland,Other years,First degree,All,Wales,2016/17,115
Scotland,Other years,First degree,All,Wales,2017/18,95
Scotland,Other years,First degree,All,Wales,2018/19,95
Scotland,All,First degree,All,All,2014/15,114075
Scotland,All,First degree,All,All,2015/16,116550
Scotland,All,First degree,All,All,2016/17,118740
Scotland,All,First degree,All,All,2017/18,121210
Scotland,All,First degree,All,All,2018/19,123835
Scotland,All,First degree,Full-time,All,2014/15,97700
Scotland,All,First degree,Full-time,All,2015/16,99350
Scotland,All,First degree,Full-time,All,2016/17,100485
Scotland,All,First degree,Full-time,All,2017/18,102125
Scotland,All,First degree,Full-time,All,2018/19,103905
Scotland,All,First degree,Part-time,All,2014/15,16375
Scotland,All,First degree,Part-time,All,2015/16,17200
Scotland,All,First degree,Part-time,All,2016/17,18255
Scotland,All,First degree,Part-time,All,2017/18,19090
Scotland,All,First degree,Part-time,All,2018/19,19930
Scotland,First year,First degree,All,All,2014/15,35265
Scotland,First year,First degree,All,All,2015/16,36320
Scotland,First year,First degree,All,All,2016/17,36980
Scotland,First year,First degree,All,All,2017/18,38475
Scotland,First year,First degree,All,All,2018/19,39435
Scotland,First year,First degree,Full-time,All,2014/15,30130
Scotland,First year,First degree,Full-time,All,2015/16,30355
Scotland,First year,First degree,Full-time,All,2016/17,30555
Scotland,First year,First degree,Full-time,All,2017/18,31480
Scotland,First year,First degree,Full-time,All,2018/19,32575
Scotland,First year,First degree,Part-time,All,2014/15,5135
Scotland,First year,First degree,Part-time,All,2015/16,5965
Scotland,First year,First degree,Part-time,All,2016/17,6425
Scotland,First year,First degree,Part-time,All,2017/18,6990
Scotland,First year,First degree,Part-time,All,2018/19,6860
Scotland,Other years,First degree,All,All,2014/15,78810
Scotland,Other years,First degree,All,All,2015/16,80230
Scotland,Other years,First degree,All,All,2016/17,81760
Scotland,Other years,First degree,All,All,2017/18,82740
Scotland,Other years,First degree,All,All,2018/19,84395
Scotland,Other years,First degree,Full-time,All,2014/15,67570
Scotland,Other years,First degree,Full-time,All,2015/16,69000
Scotland,Other years,First degree,Full-time,All,2016/17,69925
Scotland,Other years,First degree,Full-time,All,2017/18,70640
Scotland,Other years,First degree,Full-time,All,2018/19,71325
Scotland,Other years,First degree,Part-time,All,2014/15,11245
Scotland,Other years,First degree,Part-time,All,2015/16,11235
Scotland,Other years,First degree,Part-time,All,2016/17,11830
Scotland,Other years,First degree,Part-time,All,2017/18,12100
Scotland,Other years,First degree,Part-time,All,2018/19,13070
Scotland,First year,Other undergraduate,Full-time,England,2014/15,115
Scotland,First year,Other undergraduate,Full-time,England,2015/16,105
Scotland,First year,Other undergraduate,Full-time,England,2016/17,100
Scotland,First year,Other undergraduate,Full-time,England,2017/18,55
Scotland,First year,Other undergraduate,Full-time,England,2018/19,45
Scotland,First year,Other undergraduate,Full-time,Northern Ireland,2014/15,0
Scotland,First year,Other undergraduate,Full-time,Northern Ireland,2015/16,0
Scotland,First year,Other undergraduate,Full-time,Northern Ireland,2016/17,0
Scotland,First year,Other undergraduate,Full-time,Northern Ireland,2017/18,0
Scotland,First year,Other undergraduate,Full-time,Northern Ireland,2018/19,0
Scotland,First year,Other undergraduate,Full-time,Scotland,2014/15,3070
Scotland,First year,Other undergraduate,Full-time,Scotland,2015/16,2880
Scotland,First year,Other undergraduate,Full-time,Scotland,2016/17,2720
Scotland,First year,Other undergraduate,Full-time,Scotland,2017/18,2750
Scotland,First year,Other undergraduate,Full-time,Scotland,2018/19,2715
Scotland,First year,Other undergraduate,Full-time,Wales,2014/15,5
Scotland,First year,Other undergraduate,Full-time,Wales,2015/16,0
Scotland,First year,Other undergraduate,Full-time,Wales,2016/17,5
Scotland,First year,Other undergraduate,Full-time,Wales,2017/18,0
Scotland,First year,Other undergraduate,Full-time,Wales,2018/19,5
Scotland,First year,Other undergraduate,Part-time,England,2014/15,695
Scotland,First year,Other undergraduate,Part-time,England,2015/16,775
Scotland,First year,Other undergraduate,Part-time,England,2016/17,585
Scotland,First year,Other undergraduate,Part-time,England,2017/18,490
Scotland,First year,Other undergraduate,Part-time,England,2018/19,485
Scotland,First year,Other undergraduate,Part-time,Northern Ireland,2014/15,15
Scotland,First year,Other undergraduate,Part-time,Northern Ireland,2015/16,40
Scotland,First year,Other undergraduate,Part-time,Northern Ireland,2016/17,20
Scotland,First year,Other undergraduate,Part-time,Northern Ireland,2017/18,15
Scotland,First year,Other undergraduate,Part-time,Northern Ireland,2018/19,35
Scotland,First year,Other undergraduate,Part-time,Scotland,2014/15,11390
Scotland,First year,Other undergraduate,Part-time,Scotland,2015/16,10095
Scotland,First year,Other undergraduate,Part-time,Scotland,2016/17,10805
Scotland,First year,Other undergraduate,Part-time,Scotland,2017/18,9825
Scotland,First year,Other undergraduate,Part-time,Scotland,2018/19,9520
Scotland,First year,Other undergraduate,Part-time,Wales,2014/15,20
Scotland,First year,Other undergraduate,Part-time,Wales,2015/16,10
Scotland,First year,Other undergraduate,Part-time,Wales,2016/17,15
Scotland,First year,Other undergraduate,Part-time,Wales,2017/18,15
Scotland,First year,Other undergraduate,Part-time,Wales,2018/19,5
Scotland,Other years,Other undergraduate,Full-time,England,2014/15,105
Scotland,Other years,Other undergraduate,Full-time,England,2015/16,85
Scotland,Other years,Other undergraduate,Full-time,England,2016/17,85
Scotland,Other years,Other undergraduate,Full-time,England,2017/18,80
Scotland,Other years,Other undergraduate,Full-time,England,2018/19,45
Scotland,Other years,Other undergraduate,Full-time,Northern Ireland,2014/15,0
Scotland,Other years,Other undergraduate,Full-time,Northern Ireland,2015/16,0
Scotland,Other years,Other undergraduate,Full-time,Northern Ireland,2016/17,0
Scotland,Other years,Other undergraduate,Full-time,Northern Ireland,2017/18,0
Scotland,Other years,Other undergraduate,Full-time,Northern Ireland,2018/19,0
Scotland,Other years,Other undergraduate,Full-time,Scotland,2014/15,1095
Scotland,Other years,Other undergraduate,Full-time,Scotland,2015/16,1110
Scotland,Other years,Other undergraduate,Full-time,Scotland,2016/17,1145
Scotland,Other years,Other undergraduate,Full-time,Scotland,2017/18,1135
Scotland,Other years,Other undergraduate,Full-time,Scotland,2018/19,1120
Scotland,Other years,Other undergraduate,Full-time,Wales,2014/15,0
Scotland,Other years,Other undergraduate,Full-time,Wales,2015/16,0
Scotland,Other years,Other undergraduate,Full-time,Wales,2016/17,0
Scotland,Other years,Other undergraduate,Full-time,Wales,2017/18,0
Scotland,Other years,Other undergraduate,Full-time,Wales,2018/19,0
Scotland,Other years,Other undergraduate,Part-time,England,2014/15,355
Scotland,Other years,Other undergraduate,Part-time,England,2015/16,355
Scotland,Other years,Other undergraduate,Part-time,England,2016/17,380
Scotland,Other years,Other undergraduate,Part-time,England,2017/18,300
Scotland,Other years,Other undergraduate,Part-time,England,2018/19,190
Scotland,Other years,Other undergraduate,Part-time,Northern Ireland,2014/15,0
Scotland,Other years,Other undergraduate,Part-time,Northern Ireland,2015/16,5
Scotland,Other years,Other undergraduate,Part-time,Northern Ireland,2016/17,10
Scotland,Other years,Other undergraduate,Part-time,Northern Ireland,2017/18,10
Scotland,Other years,Other undergraduate,Part-time,Northern Ireland,2018/19,5
Scotland,Other years,Other undergraduate,Part-time,Scotland,2014/15,4055
Scotland,Other years,Other undergraduate,Part-time,Scotland,2015/16,3915
Scotland,Other years,Other undergraduate,Part-time,Scotland,2016/17,4040
Scotland,Other years,Other undergraduate,Part-time,Scotland,2017/18,3285
Scotland,Other years,Other undergraduate,Part-time,Scotland,2018/19,3400
Scotland,Other years,Other undergraduate,Part-time,Wales,2014/15,0
Scotland,Other years,Other undergraduate,Part-time,Wales,2015/16,0
Scotland,Other years,Other undergraduate,Part-time,Wales,2016/17,5
Scotland,Other years,Other undergraduate,Part-time,Wales,2017/18,5
Scotland,Other years,Other undergraduate,Part-time,Wales,2018/19,5
Scotland,All,Other undergraduate,Full-time,England,2014/15,215
Scotland,All,Other undergraduate,Full-time,England,2015/16,185
Scotland,All,Other undergraduate,Full-time,England,2016/17,185
Scotland,All,Other undergraduate,Full-time,England,2017/18,135
Scotland,All,Other undergraduate,Full-time,England,2018/19,90
Scotland,All,Other undergraduate,Full-time,Northern Ireland,2014/15,0
Scotland,All,Other undergraduate,Full-time,Northern Ireland,2015/16,0
Scotland,All,Other undergraduate,Full-time,Northern Ireland,2016/17,0
Scotland,All,Other undergraduate,Full-time,Northern Ireland,2017/18,0
Scotland,All,Other undergraduate,Full-time,Northern Ireland,2018/19,0
Scotland,All,Other undergraduate,Full-time,Scotland,2014/15,4165
Scotland,All,Other undergraduate,Full-time,Scotland,2015/16,3985
Scotland,All,Other undergraduate,Full-time,Scotland,2016/17,3870
Scotland,All,Other undergraduate,Full-time,Scotland,2017/18,3880
Scotland,All,Other undergraduate,Full-time,Scotland,2018/19,3835
Scotland,All,Other undergraduate,Full-time,Wales,2014/15,5
Scotland,All,Other undergraduate,Full-time,Wales,2015/16,5
Scotland,All,Other undergraduate,Full-time,Wales,2016/17,5
Scotland,All,Other undergraduate,Full-time,Wales,2017/18,5
Scotland,All,Other undergraduate,Full-time,Wales,2018/19,5
Scotland,All,Other undergraduate,Part-time,England,2014/15,1055
Scotland,All,Other undergraduate,Part-time,England,2015/16,1130
Scotland,All,Other undergraduate,Part-time,England,2016/17,965
Scotland,All,Other undergraduate,Part-time,England,2017/18,790
Scotland,All,Other undergraduate,Part-time,England,2018/19,675
Scotland,All,Other undergraduate,Part-time,Northern Ireland,2014/15,20
Scotland,All,Other undergraduate,Part-time,Northern Ireland,2015/16,45
Scotland,All,Other undergraduate,Part-time,Northern Ireland,2016/17,35
Scotland,All,Other undergraduate,Part-time,Northern Ireland,2017/18,25
Scotland,All,Other undergraduate,Part-time,Northern Ireland,2018/19,40
Scotland,All,Other undergraduate,Part-time,Scotland,2014/15,15445
Scotland,All,Other undergraduate,Part-time,Scotland,2015/16,14005
Scotland,All,Other undergraduate,Part-time,Scotland,2016/17,14845
Scotland,All,Other undergraduate,Part-time,Scotland,2017/18,13110
Scotland,All,Other undergraduate,Part-time,Scotland,2018/19,12920
Scotland,All,Other undergraduate,Part-time,Wales,2014/15,20
Scotland,All,Other undergraduate,Part-time,Wales,2015/16,15
Scotland,All,Other undergraduate,Part-time,Wales,2016/17,15
Scotland,All,Other undergraduate,Part-time,Wales,2017/18,15
Scotland,All,Other undergraduate,Part-time,Wales,2018/19,15
Scotland,All,Other undergraduate,All,England,2014/15,1270
Scotland,All,Other undergraduate,All,England,2015/16,1315
Scotland,All,Other undergraduate,All,England,2016/17,1150
Scotland,All,Other undergraduate,All,England,2017/18,925
Scotland,All,Other undergraduate,All,England,2018/19,765
Scotland,All,Other undergraduate,All,Northern Ireland,2014/15,20
Scotland,All,Other undergraduate,All,Northern Ireland,2015/16,45
Scotland,All,Other undergraduate,All,Northern Ireland,2016/17,35
Scotland,All,Other undergraduate,All,Northern Ireland,2017/18,25
Scotland,All,Other undergraduate,All,Northern Ireland,2018/19,40
Scotland,All,Other undergraduate,All,Scotland,2014/15,19605
Scotland,All,Other undergraduate,All,Scotland,2015/16,17995
Scotland,All,Other undergraduate,All,Scotland,2016/17,18715
Scotland,All,Other undergraduate,All,Scotland,2017/18,16990
Scotland,All,Other undergraduate,All,Scotland,2018/19,16755
Scotland,All,Other undergraduate,All,Wales,2014/15,25
Scotland,All,Other undergraduate,All,Wales,2015/16,15
Scotland,All,Other undergraduate,All,Wales,2016/17,20
Scotland,All,Other undergraduate,All,Wales,2017/18,20
Scotland,All,Other undergraduate,All,Wales,2018/19,20
Scotland,First year,Other undergraduate,All,England,2014/15,810
Scotland,First year,Other undergraduate,All,England,2015/16,880
Scotland,First year,Other undergraduate,All,England,2016/17,685
Scotland,First year,Other undergraduate,All,England,2017/18,545
Scotland,First year,Other undergraduate,All,England,2018/19,530
Scotland,First year,Other undergraduate,All,Northern Ireland,2014/15,20
Scotland,First year,Other undergraduate,All,Northern Ireland,2015/16,40
Scotland,First year,Other undergraduate,All,Northern Ireland,2016/17,20
Scotland,First year,Other undergraduate,All,Northern Ireland,2017/18,15
Scotland,First year,Other undergraduate,All,Northern Ireland,2018/19,35
Scotland,First year,Other undergraduate,All,Scotland,2014/15,14460
Scotland,First year,Other undergraduate,All,Scotland,2015/16,12970
Scotland,First year,Other undergraduate,All,Scotland,2016/17,13530
Scotland,First year,Other undergraduate,All,Scotland,2017/18,12570
Scotland,First year,Other undergraduate,All,Scotland,2018/19,12235
Scotland,First year,Other undergraduate,All,Wales,2014/15,25
Scotland,First year,Other undergraduate,All,Wales,2015/16,15
Scotland,First year,Other undergraduate,All,Wales,2016/17,15
Scotland,First year,Other undergraduate,All,Wales,2017/18,15
Scotland,First year,Other undergraduate,All,Wales,2018/19,10
Scotland,Other years,Other undergraduate,All,England,2014/15,460
Scotland,Other years,Other undergraduate,All,England,2015/16,435
Scotland,Other years,Other undergraduate,All,England,2016/17,465
