source,target,value
England,Female,281815
England,Male,199385
England,Other,805
Northern Ireland,Female,7900
Northern Ireland,Male,4755
Northern Ireland,Other,0
Scotland,Female,37425
Scotland,Male,26725
Scotland,Other,170
Wales,Female,15765
Wales,Male,10950
Wales,Other,40
